Ordinance Number,Date,Section,Section  this Code
,,"2-1, 2-2","21-11, 21-12"
,,3-1—3-4,21-21—21-24
,,4-1—4-4,21-31—21-34
,,5-1—5-7,21-41—21-47
,,6-1—6-7,21-61—21-67
,,7-1—7-7,21-81—21-87
,,8-1—8-4,21-101—21-104
79-1700-145,11-6-79,,"25-8, 25-9"
79-1700-146,12-4-79,,24-36
79-1700-147,12-4-79,"1, 2","19.5-1, 19.5-2"
,,3—12,19.5-11—19.5-20
79-1700-148,12-4-79,1,24-57.1
79-1700-149,12-5-79,,25-24(e)
80-1700-150,3-4-80,,"25-61—25-63,"
,,,"25-71—25-83,"
,,,25-91—25-94
80-1700-151,3-4-80,,25-101—25-117
80-1700-156,5-20-80,,2-156
80-1700-161,10-17-80,,22-4
80-1700-162,10-17-80,,22-18
80-1700-163,10-21-80,,"Adopting Ordinance,"
,,,p.ix
80-1700-164,10-28-80,,"25-24(a)(3), (4),"
,,,"(b)(4), (c)(3),"
,,,"(d)(3), (h)"
80-1700-165,11-1-80,,25-24(i)
80-1700-167,11-18-80,,24-62
80-1700-168,11-18-80,,24-63
80-1700-169,11-18-80,,14-157—14-170
80-1700-170,12-2-80,,"25-8, 25-9"
81-1700-171,3-3-81,1—5,22-70—22-74
81-1700-173,4-22-81,,13.5-28—13.5-30
81-1700-175-A,6-2-81,,"25-24, 25-25,"
,,,25-28—25-32
81-1700-178,8-4-81,,"14-51(a), 14-57(a),"
,,,"14-84(a), 14-85(a),"
,,,14-87
81-1700-179,7-7-81,,14-10
81-1700-181,8-4-81,1,"7.5-1—7.5-12,"
,,,"7.5-14—7.5-24,"
,,,7.5-26—7.5-59
81-1700-182,10-6-81,,24-53.1
81-1700-182-A,10-6-81,,"24-48(a)(14),"
,,,24-57.1(a)
81-1000-183,11-4-81,,31-18(b)(17)
81-1700-184,12-1-81,,4-23
81-1700-185,12-1-81,,22-26—22-31
82-1700-186,1-5-82,1—7,9-16—9-20
82-1700-189,3-2-82,,"8-4, 8-5(1),"
,,,"8-8(b), 8-10"
82-1700-192,4-20-82,,31-21(e)(4)
82-1700-192A,4-20-82,,"8-6, 8-9"
82-1700-197,5-5-82,1,"7.5-1—7.5-12,"
,,,"7.5-14—7.5-24,"
,,,7.5-26—7.5-66
82-1700-200,8-16-82,,2-125(b)
82-1700-201,8-17-82,,2-159—2-163
82-1700-202,8-17-82,,2-7
82-1700-203,8-17-82,,"24-3(b), 24-35"
82-1700-206,10-19-82,1—7,25-126—25-133
83-1700-212,1-18-83,,5-55—5-65
83-1700-213,1-18-83,1—5,2-171—2-175
83-1700-214,3-1-83,"Ex. B, § 1",21-46
,,"Ex. B, § 2",31-37(g)
,,"Ex. B, § 3",8-29
,,"Ex. B, § 4 Rpld",8-30(b)
83-1700-215,3-1-83,"Ex. D, § 1",21-65(11)(a)
,,"Ex. D, § 2",31-40(a)
83-1700-216,4-5-83,"Ex. A, § 1",31-15(f)
,,"Ex. A, § 2","31-32(a)(1), (3)"
,,"Ex. A, § 3",31-16(f)(3)
83-1700-220-A,4-20-83,,25-24(1)(a)
83-1700-222,,1,21-68
,,2,21-35
83-1700-225,10-18-83,,"31-15(f),"
,,,"31-32(a)(1), (3)"
,,,"31-16(f), 31-33,"
,,,31-52—31-55
83-1700-227,12-20-83,,"24-3(b),"
,,,24-35
84-1700-229,2-21-84,,9-72
84-1700-230,2-21-84,,"24-57.1(a), (d)"
84-1700-237,5-15-84,,22-27(3)
84-1700-238,6-19-84,,22-78(b)
84-1700-239,6-5-84,,"24-3, 24-35"
84-1700-245,9-4-84,,20-14
84-1700-251,11-20-84,,"22-18, 22-50"
85-1700-269,2-6-85,,"31-30(c)(1),"
,,,"31-20(e),"
,,,"31-33(j),"
,,,"31-32(c), (d),"
,,,"31-29(f)(2)—(4),"
,,,"31-29(d)(2),"
,,,31-6
85-1700-272A,3-5-85,,2-1
85-1700-277,4-16-85,,25-24—25-33
85-1700-285,7-2-85,,"24-3(b), 24-35"
85-1700-289,8-6-85,,"17-2, 17-49"
85-1700-300,9-17-85,,"14-114—14-117,"
85-1700-305,10-15-85,,14-126—14-135
85-1700-309,11-5-85,,24-28(d)
,,,9-21
85-1700-310,11-19-85,1.1—1.3,25-61—25-63
,,2.1—2.8,25-71—25-78
,,4.1—4.7,25-86—25-92
,,5.1—5.5,25-93—25-97
,,"6.1, 6.2","25-98, 25-99"
85-1700-311,11-19-85,,Added 31-20(c)
,,,Rnbd 31-20(c)—(g)
,,,as 31-20(d)—(h)
86-1700-327A,3-18-86,,Rpld 2-39(4)
,,,Amd'd 2-95
86-1700-329,4-1-86,,2-160
,,,Rpld 2-161
86-1700-334,5-20-86,,"7.5-1, 7.5-2,"
,,,"7.5-3(b)—(d),"
,,,"7.5-4—7.5-6,"
,,,"7.5-25, 7.5-27,"
,,,"7.5-38(a),"
,,,"7.5-40(c),"
,,,7.5-43
,,,"7.5-45(a),"
,,,7.5-59(a)
86-1700-336A,6-3-86,1,14-1
,,2,"Rpld 14-39—14-51,"
,,,14-53
,,,"14-55—14-64,"
,,,"14-66—14-79,"
,,,"14-83—14-87,"
,,,"14-89—14-100,"
,,,14-102
,,3,Rnbd 14-101 as 14-44
,,,Rpld 14-52
,,,Added 14-45
,,,"Rnbd 14-65 as 14-46,"
,,,"14-80 as 14-47,"
,,,"14-81 as 14-48,"
,,,"14-88 as 14-49,"
,,,14-82 as 14-50
,,,Rpld 14-54
,,,Added 14-51
,,4,"Added 14-52, 14-53"
86-1700-337,6-3-86,,"25-8, 25-9"
86-1700-338,6-17-86,,14-54
86-1700-339,6-17-86,,"17-54(b), (c)"
86-1700-340,6-17-86,,"24-3, 24-35"
86-1700-342,9-2-86,,31-6
,,,"31-27(b)(1), (c)"
86-1700-343,9-16-86,,31-18(g)(3)
86-1700-346,10-7-86,,22-49
86-1700-347,10-7-86,,14-4
86-1700-348,10-21-86,,24-51
86-1700-350,12-16-86,,22-31
87-1700-351,2-17-87,,22-30
87-1700-354,3- 3-87,,7-21(a)
,,1—3,7-21(b)—(d)
87-1700-358,4-21-87,1,24-63(a)
,,2,24-63(b)—(f)
87-1700-360,6- 2-87,,"24-3, 24-35"
87-1700-362,6- 2-87,,24-51(a)(1)—(4)
87-1700-365,11- 4-87,,"11-1—11-29,;l;11-39—11-48,;l;11-51—11-60"
87-1700-336,11-17-87,,9-80—9-86
87-1700-367,12- 1-87,,22-79(b)
88-1700-373,3-15-88,1—4,9-4
88-1700-376,5-17-88,,31-15(f)
88-1700-381,6-21-88,,"24-3, 24-35"
88-1700-382,6-21-88,,14-55
88-1700-383,9- 6-88,Amnd,7-18(b)
,,Rpld,7-19
89-1700-393,2-21-89,,"31-6, 31-27(b)(1)"
89-1700-394,3- 7-89,,3-17
,,Rpld,"3-16, 3-18—3-21"
89-1700-395,4- 4-89,,"24-53.1(a),;l;24-57.1(a)"
89-1700-395A,4-18-89,,14-116
89-1700-396A,4-18-89,,11-49
89-1700-400,6- 6-89,,"24-3, 24-35"
89-1700-401,6-20-89,,2-157
89-1700-402,6-20-89,,14-114
89-1700-405,9- 5-89,,14-28
89-1700-408,10-18-89,,24-3(a)
90-1700-411,1-16-90,,"25-8(b), (c)(1), (3)"
90-1700-413,2- 6-90,Rpld,9-72
90-1700-421,5-15-90,1—3,2-126
90-1700-422,6-19-90,,"24-3(b), 24-35"
90-1700-425,8- 7-90,,2-181—2-184
90-1700-426,8-21-90,,2-181—2-184
90-1700-427,9- 4-90,1,2-12
90-1700-428,10-16-90,,13.3-21—13.3-26
90-1700-429,12- 4-90,,"24-3, 24-35"
90-1700-430,12-18-90,,2-175
91-1700-431,1-15-91,1,22-26(1)
,,2—4,22-27(1)—(3)
,,"5, 6","22-30(1), (2)"
,,7,22-32
91-1700-432A,2-15-91,,22-30(2)
91-1700-434,3- 5-91,,22-26(2)
91-1700-435,3- 5-91,,"7-18, 7-21"
91-1700-437,4-16-91,,22-32
91-1700-438,4-16-91,,14-137
91-1700-442,5-21-91,,21-111—21-114
91-1700-443,5-21-91,,22-120—22-133
91-1700-443A,6- 4-91,,"3-17(m), (n)"
91-1700-446,6-18-91,,"25-24, 25-33"
91-1700-447,7- 2-91,,"24-3(b), 24-35"
91-1700-449,8-20-91,,"8-3, 8-4,;l;8-5(3), 8-8(b)"
,,Rpld,8-28
,,Amnd,8-31
91-1700-450,9-17-91,,24-53.1(d)
92-1700-450B,9-17-91,,8-29
91-1700-450C,9-17-91,,31-37(g)
91-1700-450D,9-17-91,,31-32(c)(9)
91-1700-450E,9-17-91,,2-46
92-1700-450A,2-18-92,,19.5-17
92-1700-451,2-18-92,,"13.5-52, 13.5-110"
92-1700-454,3- 3-92,,2-127
92-1700-455,4- 7-92,,8-10(note);l;8-12(note);l;8-26(note);l;8-30(note)
92-1700-456,4- 7-92,,25-10(c)
92-1700-457,4- 7-92,,14-138
92-1700-458,4- 7-92,,22-43.1
92-1700-459,4-21-92,,"25-8(b), (c)"
92-1700-462,4-21-92,,"25-24, 25-33"
92-1700-463,4-21-92,,2-201—2-207
92-1700-463a,5-19-92,,5-23(a)
92-1700-464,5-19-92,,24-64—24-76
92-1700-465,6- 7-92,,22-151—22-164
92-1700-466,7- 7-92,,"24-3, 24-35"
92-1700-468,7-21-92,1,14-171—14-179
92-1700-472,10- 6-92,,22-154(d)
92-1700-478,12- 1-92,,17-57
92-1700-479,12- 1-92,,5-23
92-1700-480,12- 1-92,,1-12(a)
93-1700-482,2- 2-93,,25-32(a)
93-1700-483,3- 2-93,,5-23
93-1700-486,3- 2-93,,"25-24, 25-33"
93-1700-490,7- 6-93,,24-3
93-1700-497,12-21-93,1,31-6
,,2,31-18(b)
,,3  Added,31-18(d)
,,Rnbd,31-18(d)—(g)
,,as,31-18(e)—(h)
,,4,31-19(b)
,,5,31-19(d)
93-1700-498,2- 1-94,,"5-1, 5-2, 5-36, 5-38.1, 5-56, 5-66—5-76"
94-1700-499,2-15-94,,7-18(b)
94-1700-503,4-19-94,,25-24
94-1700-504,5- 2-94,,"22-45(a),;l;22-48, 22-49"
94-1700-506,5-17-94,Rpld,14-1—14-179
,,Added,14-1—14-179
94-1700-507,5-17-94,Added,18-9
94-1700-509,7- 5-94,,24-35
94-1700-510,7-19-94,,2-205(b)
94-1700-512,10-18-94,,14-43(d)
94-1700-513,10-18-94,,14-55
94-1700-517,12- 6-94,,7.5-45(a)(2)
94-1700-518,12- 6-94,Added,"2-216, 2-217"
94-1700-519,12-20-94,,2-58
94-1700-520,12-20-94,1  Added,2-208—2-211
,,2  Added,14-4.1
95-1700-521,1- 3-95,,31-21
95-1700-522,1- 3-95,"1, 2",31-6
,,3,31-15(d)(6)
,,4,31-16(d)(6)
95-1700-523,1- 3-95,,31-32(c)(9)
95-1700-525,2- 7-95,,"24-3, 24-35"
95-1700-527,4- 4-95,1,14-4
,,2  Added,14-4.1
95-1700-530,4-18-95,,25-24
95-1700-534,7- 5-95,,"24-3, 24-35"
95-1700-537,8- 1-95,,11-41
96-1700-543,5- 8-96,Rpld,22-1—22-4
,,,"22-16—22-19,"
,,,"22-26—22-32,"
,,,"22-43—22-50,"
,,,"22-62—22-65,"
,,,"22-70—22-74,"
,,,22-77—22-83
,,,"22-95, 22-96"
,,,"22-100, 22-109,"
,,,"22-120—22-133,"
,,,22-151—22-164
,,Added,"22-1—22-9,"
,,,"22-16—22-18,"
,,,"22-26—22-32,"
,,,"22-43—22-50,"
,,,"22-62—22-64,"
,,,"22-77—22-83,"
,,,"22-95, 22-96"
,,,"22-108, 22-109,"
,,,"22-120—22-132,"
,,,"22-151—22-164,"
,,,22-175—22-185
96-1700-544,5- 8-96,,14-21(a)
96-1700-545,6-18-96,Rpld,12-11
96-1700-546,7- 2-96,,"24-3, 24-35"
96-1700-547,7-23-96,,2-39
96-1700-548,9-17-96,Added;r;,"7-18(c), (d),"
,,,7-19
,,,7-22—7-24
,,,7-16
,,,7-18(b)
,,,7-21
,,Rpld;r;,"13.5-1—13.5-22,"
,,,"13.5-28—13.5-30,"
,,,"13.5-33—13.5-37,"
,,,"13.5-48—13.5-53,"
,,,"13.5-64—13.5-68,"
,,,"13.5-80, 13.5-81,"
,,,"13.5-92—13.5-96,"
,,,"13.5-107—13.5-115,"
,,,13.5-121—13.5-127
96-1700-549,9-17-96,Added;r;,"17.1-1, 17.1-2,"
,,,"17.1-21—17.1-28,"
,,,17.1-31—17.1-34
96-1700-552,12-17-96,Rpld;r;,"14-1—14-28,"
,,,"14-38—14-55,"
,,,"14-114—14-117,"
,,,"14-126—14-137,"
,,,14-148—14-179
,,Added;r;,"14-1—14-32,"
,,,"14-38—14-58,"
,,,"14-114—14-117,"
