0,1,2,3
Ordinance  No.,Adoption  Date,Section,Section  this Code
30586,6-24-91,1,20-68
30604,6-24-91,1—3,"Readopting ordinance, p. xii.xv"
30605,6-24-91,1,23.1-18(b)
30606,6-24-91,1,21-68(a)(1)
,,2,21-71(d)
,,3,21-73(1)
30617,7-22-91,,"36.1-25, 36.1-271(3)"
30643,8-12-91,1,32-108.1
30648A,8-26-91,,36.1-25
,,,"36.1-52(3), (10)"
,,,36.1-71(4)
,,,"36.1-72(a)(10), (11)"
,,,36.1-89(4)
,,,"36.1-90(13), (14)"
,,,36.1-107(5)
,,,"36.1-108(12), (13)"
,,,36.1-126(7)
,,,36.1-127(8)—(10)
,,,36.1-146(5)—(7)
,,,36.1-147(7)
,,,36.1-185(11)
,,,36.1-206(7)
,,,36.1-227(8)
,,,36.1-249(26)
,,,"36.1-270(6), (8)"
,,,36.1-412
,,,36.1-435(a)
,,,36.1-531(f)
,,,36.1-576(d)
,,,36.1-690
,,,36.1-691(b)
,,,36.1-710(d)(3)
30705,9-23-91,1,"2-61.1, 2-85.1"
,,2  Rpld,2-103—2-118
30738,10-14-91,1,19-11
30741,10-14-91,1,"26-45(b), (c)"
30780,11-11-91,1,30-109—30-113
,,2  Rpld,27.1-3
30839,1-21-92,Rpld,36.1-361—36.1-368  36.1-361—36.1-371
30876,2-18-92,1,21-85
30945,4- 6-92,1,6-22
,,2,6-42.1
,,3,6-50—6-54
,,4,6-27
30959,4-13-92,1,32-283(f)
,,,32-295(a)
,,,32-296
,,,32-297
30986,6-11-92,1,10-28
31001,5-11-92,1,22.1-44(h)
,,2,22.1-45(f)
31002,5-11-92,1,22.1-3(h)
,,2,22.1-4.1
,,3,22.1-4.2
31003,5-11-92,1,22.1-44(i)
,,2,22.1-45(g)
,,3,22.1-62(f)
31008,5-18-92,1  Rpld,2-222
,,2,32-1
,,,32-173—32-176
,,,32-216
,,,32-217
,,,32-221(a)(b)(c)
,,,32-222
,,,32-223
,,,32-225—32-327
,,,32-243
,,,32-244
,,,32-245
,,,32-247
,,,32-248
,,,32-277
,,,32-278
,,3,32-240
,,,32-177
,,,32-178
,,,32-226.1
,,,32-247.1
,,,32-249
,,,32-282.1
31038,6-15-92,1,36.1-642(d)(e)
,,2,36.1-724
31053,6-15-92,1,Art. III
,,2,2-42
,,3,2-28—2-46
,,4,2-48—2-51
,,5,2-53—2-55
,,7  Rpld,2-38.1—2-40
31006,5-11-92,1,32-190
31007,5-11-92,1,32-240
31065,6-22-92,1,21-5(a)(b)
31082,6-22-92,1—3,"Readopting ordinance, p. xii.xvii"
31168,8-24-92,1,6-22  6-50  6-53
31169,8-24-92,1,32-283(g)  32-285  32-294
31170,8-24-92,1,32-1
,,2,32-25
,,3,32-111
31171,8-24-92,1,32-1(note)
,,2,32-25(note)
,,3,32-111(note)
31177,9-28-92,1,36.1-345
,,,36.1-552(g)
,,,36.1-553(b)
,,,36.1-641(e)
,,,36.1-710(a)(d)
,,2,36.1-59
,,,36.1-78
,,,36.1-95
,,,36.1-113
,,,36.1-152
31191,9-14-92,1,23.1-18(b)
31192,9-14-92,1,22.1-44(h)
,,2,22.1-45(f)
31193,9-14-92,1,22.1-44(i)
,,2,22.1-45(g)
,,3,22.1-62
31194,9-14-92,1,32-1(note)
,,,32-25(note)
,,,32-211(note)
31195,9-14-92,1,19-2  19-20(g)
31232,11- 2-92,1,35-15
,,,35-22
,,,35-44(a)(f)
,,,35-49
31275,1- 4-93,1,36.1-25
,,,36.1-53(11)
,,,36.1-72(a)(12)
,,,36.1-90(15)
,,,36.1-108(14)
,,,36.1-126(11)—(13)
,,,"36.1-145(6), (7)"
,,,36.1-207(10)
,,,36.1-250(6)(7)
,,,36.1-271(4)(5)
,,,36.1-443(c)
,,,36.1-511(a)
,,,36.1-571(a)
,,,36.1-575(c)
,,,36.1-640
,,2,36.1-563—36.1-565
,,3  Rpld,21-40.1
31302,1-11-93,1,23-6
31314,1-29-93,1,7-14
31320,1-25-93,1,2-56
,,2,22.1-2
,,3  Rpld,22.1-42
31321,1-25-93,1,22.1-44(a)(1)
31354,2-22-93,1,22.1-36.1
31357,3- 1-93,1,14-16
31362,3- 1-93,1,21-44
,,2  Rpld,28-1
31377,4- 5-93,1,32-190
31378,4- 5-93,1,20-28
31379,4- 5-93,1,"20-34, 20-35"
31405,4-12-93,1,23.1-4.1(b)(3)
31428,5- 3-93,1,20-89(b)
31462,5-17-93,1,32-16
31463,5-17-93,1,32-122
31465,5-17-93,1,32-86(c)(d)
31467,5-24-93,1,36.1-108(15)
31472,5-24-93,1,32-103—32-103.4
31545,6-28-93,1,7-14(a)
21554,6-28-93,1—3,"Readopting ordinance, p. xii.xix"
31591,7-12-93,2,26-43—26-68
31606,8- 9-93,,30-62
31620,8-23-93,1,36.1-270
31669,8-23-93,1,21-65—21-67
,,,"21-68(a)(1), (2), (4)—(6), (c)"
,,,21-69(a)
,,Added,21-69(c)
,,,21-70(b)
,,,"21-71(a), (e)—(g)"
,,,"21-72(a), (b)"
,,,21-73
,,,21-74(b)
,,,21-77.1
31697,10- 4-93,1,36.1-361
,,,36.1-362
,,,36.1-364(e)
,,,36.1-365
31745,11- 1-93,1,36.1-361
,,,"36.1-362(1), (2)"
,,,"36.1-363(b), (c)"
,,,36.1-364(f)
,,Added,36.1-370(6)
31750,10-25-93,1  Rpld,23-35—23-43
31903,3-14-94,1,21-135
,,2,21-144(c)
31943,4-11-94,1  Added,20-33.2
31947,4-11-94,1,7-14(c)
31972,5- 2-94,1,24-26(b)
31982,5- 9-94,1,21-68(e)
32003,5-23-94,1,"2-15, Rule 1, (a)—(c)"
32036,6-20-94,1,"36.1-641(c), 36.1-642(a)"
,,2  Added,"Subdiv. G,"
,,,§§ 36.1-388—36.1-394
32040,6-13-94,1,30-9.1
32049,6-13-94,1,"21-66, 21-68, 21-69(c), 21-70(d), 21-71(h), 21-73(5), 21-73(5), (7)—(17)"
32053,6-13-94,1—3,"Readopting ordinance, p. xii.xxi"
32071,6-27-94,1,"2-49(b), (f)—(h),"
,,2,2-51(a)
32119,7-11-94,1,20-76
32128,7-25-94,1,"23.1-10(b), (c)"
32179,9-12-94,1,"22.1-2, 22.1-3(b), 22.1-5(a), 22.1-7, 22.1-15, 22.1-22(b), 22.1-26, 22.1-28, 22.1-29,  22.1-30(a), 22.1-39, 22.1-42, 22.1-43, 22.1-44(b), (d), 22.1-45(a), (c), 22.1-47(a),  (b), 22.1-48(a), (b), 22.1-49, 22.1-52(c), 22.1-55, 22.1-58, 22.1-59, 22.1-62(a),  (b), 22.1-63(a), 22.1-65(a), 22.1-66(a), (b), 22.1-67, 22.1-68, 22.1-71(c)"
32185,9-26-94,1,30-13.1(b)
32186,9-26-94,1,23-19(a)
32201,10-10-94,1  Rpld,3-1—3-87
32211,10-10-94,1,"20-33.1(c)—(h), 20-33.2"
32242,11-14-94,1  Added,7-16
,,2,7-32
32271,12-12-94,Added,22.1-3(c1)
32306,12-19-94,1,"23.1-4(a), (b)"
,,2,23.1-4.1(c)
,,3,23.1-10(c)
32325,1- 9-95,1,2-45(d)
32356,1-23-95,1,2-15
32432,4-10-95,1,36.1-249(19)
32469,5-22-95,1  Added,32-86(d)
,,Rltd,32-86(d)
,,as,32-86(e)
32471,5-22-95,1,32-275
,,2,32-276
32494,5-22-95,1,2-36(a)
32547,6-26-95,1  Added,"Readopting ordinance, p. xii.xxiii"
32575,7-24-95,1  Added,20-116—20-123
,,2  Rpld,36.1-563—36.1-565
32588,7-24-95,1,20-76(a)
32661,10-16-95,1,32-108
,,,32-108.1(5)
32707,10-23-95,1,2-37
,,2,"2-49(a), (b1)"
,,3,2-54(c)
32728,11-27-95,1,"19-20(a), (b), (f), (g)"
32741,11-27-95,,22.1-46(a)
32768,12-11-95,1,"34-58, 34-59,"
,,,"34-62, 34-64,"
,,,"34-65(a), 34-66,"
,,,"34-67, 34-70,"
,,,"34-91, 34-92,"
,,,"34-94, 34-97,"
,,,34-98
,,2,"Art. III, Div.2"
,,3,34-73.1
,,,34-78
,,,34-93.1
,,,34-99
,,4  Rpld,"34-68, 34-69,"
,,,"34-73, 34-93,"
,,,"34-95, 34-96"
32774,12-11-95,1,2-15
32782,1- 2-96,1,19-20(f)
32790,12-18-95,1,2-301
,,2  Added,2-301.1
32794,12-18-95,1,"26-45(b)(9), (15)"
,,2,26-46(b)
32849,3- 4-96,1,2-188.1
32838,2-20-96,1,"32-221(a), (b)"
32868,3-18-96,1  Added,"19-16.1, 19-78.1"
,,2,19-80
32908,5- 6-96,,"22.1-2, 22.1-39,"
,,,"22.1-49, 22.1-67,"
,,,22.1-68
32943,5-20-96,1,32-102.3(a)
,,2,32-102.4
,,3,32-103.3(a)
,,4,32-103.4
32955,5-20-96,1,"31-39(a), (b),"
,,,36.1-710
32956,6- 3-96,1,"7-14, 11-9,"
,,,"26-4.1, 30-62"
,,2  Added,2-178.2
32959,6- 3-96,1  Added,"19-1.1—19-1.3,"
,,,19-22.1
,,,19-32.1—19-32.3
,,2,"19-2, 19-5,"
,,,"19-9, 19-11,"
,,,"19-20, 19-24,"
,,,19-30
,,3,19-45
,,4  Rpld,"19-4, 19-8,"
,,,"19-10, 19-13,"
,,,"19-14, 19-15"
32989,6-17-96,1  Added,7-34—7-47
,,2  Rpld,16-184—16-193
33003,6-17-96,1—3  Added,"Readopting ordinance,  p. xii.xxv"
33018,7- 1-96,1  Added,32-101.1—32-101.8
33037,7-15-96,1  Added,24-90(c)
33058,8- 5-96,1,36.1-25
33059,8- 5-96,1,2-124
33102,9- 3-96,1  Rpld,"7-52, 7-69,"
,,,7-115
,,2,7-3
33155,10-23-96,1  Added,23.1-4(e)
,,2,23.1-4.1
33183,11-18-96,1,"23.1-9(a),"
,,,"23.1-15(a), (d)"
33184,12- 2-96,1,19-1.1
33190,11-18-96,1,36.1-25
,,,"36.1-412(b)(1), (4), (5),"
,,,36.1-531(k)
33227,1- 6-97,1,21-65
,,2  Added,21-65.1
,,3  Rpld,21-66—21-77.1
33235,1- 6-97,1,2-121
33243,2- 3-97,1,20-76(c)
,,2,20-81(c)
33269,2-18-97,1,20-29
,,2  Added,20-34.1
33271,2-18-97,1,20-118(e)
,,,20-121
,,,20-123
,,Added,20-124
33282,3- 3-97,1,36.1-25
33336,4-21-97,1  Rpld,11-1—11-13
,,2  Added,11.1-1—11.1-16
33352,4-21-97,1,36.1-690(h)
33359,4-21-97,1  Added,11.2-1—11.2-23
33378,5-12-97,1,"32-86(e), (f)"
33379,5-19-97,1  Added,32-170.1
33380,5-12-97,1,32-276
33381,5-12-97,1,32-16
33446,6-16-97,1—3  Added,"Readopting ordinance, pg. xii.xxvii"
33447,6-16-97,1,2-15(Rule 1)
33448,6-16-97,1,2-15(Rule 1)
33461,7- 7-97,Added,36.1-250(8)
33470,7- 7-97,1,12-1—12-3
,,,12-16—12-20
,,,20-74
33552,9- 2-97,1  Rpld,"7-1—7-6,"
,,,"7-13—7-16,"
,,,"7-30—7-33,"
,,,"7-34—7-47,"
,,,"7-50—7-52,"
,,,"7-66—7-71,"
,,,"7-105—7-110,"
,,,7-113—7-115
,,2  Added,"7-1—7-8,"
,,,7-34—7-47
33594,9-22-97,1  Added,24-76
33595,10- 6-97,Added,2-47
33625,11- 3-97,1,19-1.1
33626,10-22-97,1,"23.1-4, 23.1-4.1(a),"
,,,23.1-6(g)
33640,11-17-97,1,6-40
,,2,6-62(a)
33669,12-15-97,,22.1-44(a)(1)
33675,12-15-97,1,2-41(b)
33705,2- 2-98,1,"20-89(b), (e), (f)"
33723,2-17-98,1  Rpld,15-47—15-49
33732,3- 2-98,1,36.1-228(5)
33754,3-16-98,1  Added,22.1-4
33800,5- 4-98,"1, 2",24-26
,,3,24-48(a)(2)
33839,6- 1-98,1,15-22—15-28
,,2  Added,"15-29, 15-30"
33843,6- 1-98,1,22.1-44(a)
33844,6- 1-98,,22.1-3(c2)
33851,6- 1-98,1,36.1-710(c)
33886,6-15-98,1—4  Added,"Readopting ord., pg. xii.xxix"
33948,7-20-98,1,10-78
34011,9- 8-98,1,2-178
34045,10-19-98,1,2-178.1
34055,11- 2-98,1,22.1-44(c)
,,2,22.1-45(b)
,,3,22.1-46(c)
34056,11- 2-98,1,22.1-3(c3)
34075,11-16-98,1,22.1-2
,,2,22.1-52(a)
34137,1-19-99,1,32-282
,,2  Added,32-282.2
34163,2- 1-99,1,20-1
34197,3-15-99,1,"4-7(a), 20-65(13),"
,,,"20-68, 20-69(d)—(i),"
,,,"20-76(c), 20-88,"
,,,21-22
,,2  Rpld,"4-5, 4-8,"
,,,"20-77, 20-77.1,"
,,,"20-78—20-84,"
,,,20-114
34263,5-11-99,1,"32-239, 32-240"
34264,5-11-99,1,32-16
34298,6- 7-99,1  Added,6-11—6-13
,,2,"6-22, 6-42.1,"
,,,"6-43, 6-45"
34316,6- 7-99,1—4  Added,"Readopting ord.,  pg. xii.xxxi"
34384,7- 6-99,1,26-66
34485,9-20-99,1,7-2
,,2,33-23
34517,10-20-99,1,2-37(b)
34586,12- 6-99,1,32-199
34654,1-18-00,1  Rpld,36.1-541
,,2,"36.1-107, 36.1-108"
,,Rnbd,36.1-542
,,as,36.1-541
34662,2- 7-00,Added,21-209—21-214
34688,2-22-00,1,22.1-3(i)
34715,3-20-00,,"33-20(a), 33-21(a),"
,,,33-22
34724,3-20-00,1,"20-116, 20-119,"
,,,20-121(a)
34728,3-20-00,1,20-101
34729,3-20-00,1,21-5
34730,3-20-00,1,21-211
34774,5- 1-00,,"2-37(f), 2-45(d),"
,,,"2-54(g), 2-58,"
,,,"2-61.1, 2-62"
,,,"2-63, 2-64(a),"
,,,"(b)(2), (7), (15),"
,,,"2-67, 2-68,"
,,,"2-69(b), 2-87,"
,,,"2-89, 14-16,"
,,,17-1
,,Rpld,17-2
,,,"17-14, 17-15"
,,,"17-18, 17-20(a),"
,,,"(b)(3), (4)"
,,,20-121(a)
,,,"20-123(a), (b)"
,,,24-24—24-29
,,,"24-30(a), 24-31(a),"
,,,"24-90(c), 26-66(b)"
34799,5- 9-00,1  Added,22.1-5.1
34801,5- 9-00,1  Rnbr,32-86(f)
,,as,32-86(g)
,,Added,32-86(f)
34819,5-15-00,1,"35-17(b), 35-30"
34820,5-15-00,1  Rpld,20-116—20-124
,,Added,20-125—20-130
34823,5-15-00,1,22.1-2
,,Added,22.1-43.1
34824,6- 5-00,,22.1-3(c4)
34825,6- 5-00,1,22.1-11(e)
34838,6- 5-00,1,36.1-590
,,,36.1-593
,,,36.1-594
34839,6- 5-00,,36.1-25
,,,36.1-126(5)
,,,36.1-145(6)
,,,36.1-511
,,,36.1-512(a)
34843,6- 5-00,1,20-7(c)(4)
,,,20-66(b)
,,,20-94(a)
,,,20-95(a)
,,,20-96
,,Added,20-16
34847,6- 5-00,1,34-130(g)
34851,6-19-00,1  Added,21-47
34857,6- 5-00,,Readopting ord.
,,,pg. xii.xxxiii
34860,6- 5-00,1,32-283(h)
,,,32-297
34885,6-19-00,1,22.1-2
,,,22.1-3(c5)
34887,6-19-00,1,22.1-43.1
,,,(d)—(g)
34915,7- 1-00,1,"32-93—32-95,"
,,,"32-97, 32-98"
,,Added,32-98.1
,,,32-101.1
,,,32-101.2
,,,32-101.5
34917,7- 4-00,1,6-22
,,,"6-25, 6-26"
,,,6-46
,,,6-50—6-54
,,Added,6-50.1
,,,6-62
,,,6-65
,,,6-67
,,,6-117
,,,6-119
35001,8- 7-00,1  Added,21-32(b)
35006,8- 7-00,1,23.1-20
,,Added,23.1-20.1
35044,9- 5-00,1,2-124(b)
35063,9-18-00,1  Rpld,14-1—14-56
,,2  Added,14.1-1—14.1-56
35074,9-18-00,1  Rpld,32-168—32-187
,,2  Added,32-168—32-187
35075,9-18-00,1,19-76
35103,10-16-00,1,32-282.2
,,2,32-180
35109,11- 6-00,,36.1-693
35114,11- 6-00,1,2-121
35115,11-20-00,1  Added,23-7
35153,12- 4-00,1,32-104
35223,3- 5-01,1,21-25
35255,3-19-01,1,36.1-25
,,,36.1-445
35273,4-16-01,1,35-1
,,,35-14—35-29
,,,35-42—35-44
,,,"35-46, 35-47"
,,,35-50
,,,35-56
35274,4-16-01,1,24-97
35275,4-16-01,1,7-2
35281,4-16-01,1  Rpld,2-302
35282,4-16-01,1  Rpld,2-300
35283,4-16-01,1,9-19
35289,4-16-01,1,36.1-250
,,,36.1-270
35309,5- 7-01,1,2-271
,,2  Rpld,2-301.1
35322,5- 7-01,1,"20-33.1(d), (e)"
35323,5- 7-01,1,20-89
35324,5- 7-01,1,32-190
35325,3- 7-01,1,32-240
35327,5- 7-01,1,22.1-5.1
35368,5-21-01,1,7-1
,,,7-3
,,,7-45
,,,36.1-327
,,,36.1-345
35369,5-21-01,1  Added,36.1-395—  36.1-399
,,Added,36.1-562(c)
35385,6- 4-01,1,24-97
35389,6- 4-01,1,32-169(4)
,,,32-170(4)
35413,6-18-01,1,32-101.1
,,,32-101.3
,,,32-101.5
35423,6-18-01,1,26-43
,,,26-43
,,,26-45
,,,26-51
,,,26-56
35425,6-18-01,,Readopting ord.
,,,pg. xii.xxxv
35478,7-16-01,1,26-43
,,,26-56(k)(1)b.4.
35505,8- 6-01,1  Added,11.1-6(i)
35540,8-20-01,1,6-7
35582,9-17-01,1  Added,32-26
35602,10-18-01,1,2-15
35615,10-18-01,1  Added,20-77—20-86
35620,10-18-01,1  Added,36.1-206(48)
,,Added,36.1-227(40)
,,Added,36.1-249(27)
35621,10-18-01,1,36.1-723
35633,11- 5-01,1  Rpld,21-44
,,2  Added,21-44.1
35646,11-19-01,1  Added,32-27
35647,11-19-01,1,"14.1-1(r), (s)"
,,,14.1-16(b)
35672,11-19-01,1  Added,36.1-397(11)
35693,12-17-01,1,20-8
,,,24-89
,,2  Rpld,24-93
,,Rpld,30-101—30-108
,,Added,30-101—30-108
35702,1- 7-02,1,22.1-49
35714,1-22-01,1,36.1-640
35730,1-22-02,1,7-7
,,2  Rpld,7-8
35792,4- 1-02,1,30-9.1
35793,4- 1-02,1,20-77—20-80
35850,5-20-02,1,32-217
35853,5-13-02,1,32-192
35854,5-13-02,1  Rpld,32-291
35855,5-13-02,1  Added,1-21
35856,5-13-02,1  Added,1-22
35857,5-13-02,1  Added,2-178.3
35858,5-13-02,1  Added,2-178.4
,,2,33-22
35859,5-13-02,1,32-19
35860,5-13-02,1,20-76(e)
,,,20-89(b)
35880,5-20-02,1  Added,22.2-1—22.2-75
,,2  Rpld,"22.1-1—22.1-3,"
,,,22.1-4.1
,,,22.1-5—22.1-82
35882,5-20-02,1,20-33.1(e)
35888,6- 3-02,1,2-299
,,,2-303
,,2  Added,2-304
35907,6-17-02,1,2-15
35936,6-17-02,1,"14.1-3(f), (g)"
,,2,14.1-21
35937,6-17-02,1,2-37(c)
35945,6-17-02,1  Added,4-5
,,"2, 3","4-6, 4-7"
35946,6-17-02,1,"23.1-4(a), (b)"
,,2,23.1-6(g)
35953,6-17-02,1,36.1-650
,,2,36.1-653(a)
35963,7- 1-02,1,32-102.3(a)
36038,8-19-02,1  Added,32-7
36058,9-16-02,1  Added,32.1—32.1-12
36103,10-15-02,1  Rpld,28-14—28-29
,,2  Added,28-3
36118,11- 4-02,1,"33-17(g),"
,,,"33-20(a), (b)(4), (d),"
,,,33-21(a)
36123,11- 4-02,1,36.1-393
,,,36.1-403
,,Added,36.1-428(c)(6)
36134,11-18-02,1,"7-34, 7-35,"
,,,"7-36, 7-37(a), (b),"
,,,"7-38, 7-39(a)—(c),"
,,,"7-40, 7-41,"
,,,7-42(a)
36147,12- 2-02,1,"26-55(a), (e)"
36158,12-16-02,1  Rpld,23.1-1—23.1-23
,,2  Added,23.2-1—23.2-3
36150,12- 2-02,1,32-39
36185,12-16-02,1,"36.1-206(34), (36)"
,,,36.1-338(2)(b)
36189,1- 6-03,1,"33-17(d), (e), (g)"
36212,1-21-03,1,36.1-25
,,,"36.1-206(26), (49), (50),"
,,,"36.1-207(11),"
,,,"36.1-227(26), (41), (42),"
,,,36.1-228(6)
,,2,36.1-25
36245,2-18-03,1  Dltd,"36.1-164(15),"
,,,36.1-185(19)
,,Added,"36.1-165(8),"
,,,36.1-186(10)
36279,4- 7-03,1,"32-37, 32-37.1"
36291,4-21-03,1,36.1-690(i)
36297,5- 5-03,1,20-80(d)
36302,5- 5-03,1,2-238
36303,5- 5-03,1,20-33.1
,,2,20-33.2
36304,5- 5-03,1,20-89
36305,5- 5-03,1,2-178.4
36306,5-12-03,1,32-217
36307,5-12-03,1,32-276
36308,5-12-03,1  Added,32-300—32-313
36343,5-19-03,1,26-2
,,2,26-3
,,3,26-8
36351,5-19-03,1  Added,36.1-228(7)
36360,6- 2-03,1  Added,23-35—23-46
36361,6- 2-03,1  Added,12-21—12-31
36374,6-16-03,"1, 2",32-276
36375,6-16-03,1,"24-61—24-64,"
,,,24-66—24-69
,,Rpld,24-70
,,,24-71—24-76
,,Added,24-77
36380,6-16-03,1  Added,20-131—20-161
36391,6-16-03,1,26-8
36415,7- 7-03,1,1-21
36423,7- 7-03,1,20-80(b)
36461,8-18-03,1,36.1-25
,,2,"36.1-206(26), (37)"
,,Rpld,36.1-206(40)
,,Added,"36.1-206(51), (52)"
,,3  Rpld,36.1-207(4)
,,,36.1-207(5)
,,4,36.1-227(26)
,,5,36.1-228(3)
,,6,36.1-249(24)
,,Added,"36.1-249(28), (29)"
,,7  Dltd,"36.1-250(3), (6)"
,,,36.1-250(8)
,,Added,"36.1-250(10), (11)"
,,8,36.1-270(11)
,,Added,36.1-270(12)
,,9  Dltd,36.1-271(5)
,,Added,36.1-271(6)
,,10,36.1-435(a)(3)
,,Added,36.1-435(a)(6)
,,,36.1-435(b)
36464,8-18-03,1,20-71
36465,8-18-03,1,36.1-693
36476,9-15-03,1,21-80(a)
36495,9-15-03,1,"36.1-345(a), (c)"
36522,10-23-03,1  Added,1-23
36549,11-17-03,1,36.1-445(c)
36557,12- 1-03,1,6-22
,,2,6-52(d)
36568,12-15-03,1,32-101.1
,,,32-101.3
,,,32-101.5
36575,12-15-03,1  Added,20-17
36579,12-15-03,1,36.1-25
,,,36.1-207
36592,1- 5-04,1,21-80(a)
36599,1-20-04,1,"7-5, 7-35"
36612,2- 2-04,1,12-16—12-19
,,2,20-74
36617,2-17-04,1  Added,"11.1-5(d), (e)"
,,,11.1-6(i)
36618,2-17-04,1,"11.2-8(b),"
,,,11.2-9
,,,11.2-10(d)
36635,3- 1-04,1,"16-147—16-154,"
,,,16-167—16-183
36668,4-19-04,1,22.2-8(b)(6)
36684,5- 3-04,1,9-17
36685,5-13-04,1,2-178.4(a)
36697,5-20-04,1,34-130(g)(1)a.
36710,6- 7-04,1,2-37(c)
,,2,2-48
,,3,2-49(g)
,,4,2-53
,,6,"2-54(b), (e), (f)"
36739,6-21-04,1  Added,"26-1.1, 26-1.2"
,,,26-2—26-4
,,Rpld,26-4.1
,,,"26-5, 26-6,"
,,,"26-8, 26-9"
,,Rpld,26-10
,,,"26-11, 26-12(a), (c)"
,,Rpld,26-23—26-31
,,,26-43
,,,"26-44(a), (b), (d), (g),"
,,,"26-47(a),"
,,,"26-48(a)(3), (b)"
,,,"26-55(a), (c),"
,,,26-57—26-59
,,Rpld,26-60—26-62
,,,26-63
,,,"26-64(a)(2), (b)(3),"
,,,"26-66, 26-67"
36740,6-21-04,1  Rpld,35-1—35-4
,,2,"35-14(b), 35-16"
,,3,35-17(b)
,,4  Rpld,35-22
,,5,35-23
,,6  Rpld,35-26
,,7  Rpld,35-42—35-56
36741,6-21-04,,Readopting ord.
,,,pg. xii.xxxvii
36743,6-21-04,1,22.2-2
36749,6-21-04,1,"32-102.2(a), (b)"
36756,6-21-04,1,31-4
,,2,31-5(b)
,,3,"31-6(b), (e)"
,,4,31-8
,,5,"31-25, 31-36,"
,,,"31-54, 31-86,"
,,,"31-105(a), (d),"
,,,"31-106, 31-107"
,,6,31-26
,,7,"31-27, 31-32(a)"
,,8,31-28(c)
,,9,"31-29(a), (h), (i)"
,,10,"31-33(b), (c)"
,,11,31-39(c)
,,12,"31-68(d), (j), (k)"
,,13,31-74(a)—(d)
,,14,"31-104(4), (5)"
,,15,31-122
36757,6-21-04,1,36.1-25
,,2,36.1-576(b)
,,3,36.1-578(a)
,,4,36.1-580
36775,7- 6-04,1,32-1
,,2,19-1.2(b)
36783,7-19-04,1  Added,32-101.9—32-101.16
36793,7-19-04,1  Rpld,2-299
36794,7-19-04,1  Rpld,24-45.1
36814,8-16-04,1,21-81
36840,9- 7-04,1  Rpld,2-301
,,2,2-297
,,3,"Ch. 17, Art. II(title)"
,,Added,17-20(b)(4)
,,Rnbd,"17-20(b)(4), (5)"
,,as,"17-20(b)(5), (6)"
36854,9-20-04,1,30-1
,,2,"30-45, 30-46,"
,,,30-48
,,Added,30-49
,,,"30-60(a),"
,,,30-61—30-64
,,3  Rpld,30-65
,,4,30-88
36858,9-20-04,1,14.1-1
,,2  Added,14.1-46
36892,11- 1-04,1,32-93
,,,32-95(b)
,,,32-96
,,,32-97
,,,32-98(a)
36919,12-20-04,1  Added,35-1—35-3
36943,1-18-05,1  Rpld,9-16—9-23
,,Added,9-24
36953,2- 7-05,1  Added,32-103.5—32-103.17
36954,2- 7-05,1  Dltd,32-95(a)(3)
,,Rnbd,"32-95(a)(4), (6)"
,,as,"32-95(a)(3), (4)"
,,Added,32-95(c)
,,2,32-100
36990,3- 7-05,1,Ch. 27.1(title)
,,2,27.1-1
,,3  Dltd,27.1-2(1)(b)
,,Rltd,"27.1-2(1)(c), (d)"
,,as,"27.1-2(1)(b), (c)"
,,,27.1-2(4)—(6)
,,Added,27.1-2(7)
,,4,27.1-6
37000,3-21-05,1  Dltd,"36.1-690(g), (h)"
,,Rltd,36.1-690(i)
,,as,36.1-690(g)
37045,5-10-05,1,32-284
37052,5-10-05,1  Rpld,2-189
37057,5-10-05,1,2-121
37063,5-16-05,1  Dltd,14.1-19(d)
37066,5-16-05,1  Added,24-103
37083,6- 6-05,1,"21-25(b), (d)(2)"
37084,6- 6-05,,Readopting ord.
,,,pg. xii.xxxix
37105,6-20-05,1—11,7-34—7-44
,,12,7-45(b)
37126,10-17-05,1,2-70
37141,8- 1-05,1,20-125
,,2,20-126(a)
,,Added,20-126(c)
37151,8-15-05,1  Added,11.3-1—11.3-7
37153,8-15-05,1  Added,2-206
37216,10-17-05,1,2-70
37232,11- 7-05,1  Added,16-152(8)
37234,11- 7-05,1  Added,34-135—34-150
37262,12- 5-05,1,"7-5, 7-35"
37268,12- 5-05,1  Rpld,Ch. 36.1
,,2  Added,Ch. 36.2
37272,12-19-05,1,"20-89(b), (c)"
,,2  Added,20-90
37350,4- 3-06,1,"6-27(a), (b)(2), (4),"
,,,"6-112(b),"
,,,"6-116(a), (b)(2), (4)"
,,2,"11.1-2, 11.2-19(d)"
,,3,"21-43.1, 21-205"
,,4,"27.1-2(1)(b), (c), (3)(a), (7)"
,,5  Dltd,27.1-31—27.1-35
,,6,"30-14, 30-86(a)"
,,7,32-7
,,8,33-17(e)
37361,4-17-06,1  Added,34-130(g)(4)
37381,5-11-06,1,32-16
37382,5-11-06,1,32-190
37383,5-11-06,1  Added,32-86(g)
,,Rltd,32-86(g)
,,as,32-86(h)
37392,5-11-06,1,2-35
37410,6- 5-06,1,24-64
37417,6- 5-06,,Readopting ord.
,,,pg. xii.xli
37434,6-19-06,1,"20-127(b)(4), (c)(2)b."
,,Dltd,20-127(c)(3)
37435,6-19-06,1,20-129(a)
37436,6-19-06,1,"33-20(a), (b)(6)"
37437,6-19-06,1,6-22
,,2,"6-50, 6-50.1,"
,,,"6-51(a), (b),"
,,,6-52(d)
,,Added,"6-52(e), (f)"
,,,6-53
,,,"6-54(b), (c)"
