0,1,2,3
Ordinance  No.,Adoption  Date,Section,Section  this Code
,,§ 18,2-104
,,§ 19,2-107
,,"1(Ch. 13.02, § 1)","2-83, 2-87—2-89"
,,§ 2,"2-84, 2-85, 2-108"
,,§ 3,"2-86, 2-90"
,,§ 4,2-108
,,§ 5,2-108—2-113
,,§ 6,2-60
,,§ 7,2-114
24438,12-11-78,1,"2-35, 2-36"
24442,12-11-78,1,"32-86, 32-88, 32-89"
24443,12-11-78,"Ch. 1, § 1",6-79
,,2,6-81
,,3,6-82
,,4,6-80
,,"Ch. 4, § 1",6-7
,,2,6-6
,,3,6-8
,,4,6-10
,,"Ch. 5, § 1",6-93
,,2,6-95
,,3,"6-96, 6-97"
,,4,6-94
,,"Ch. 6, § 1",6-110
,,2,6-111
,,3,6-109
,,4,6-108
24447,12-26-78,1,18-30(a)
24478,1-22-79,,31-39
24480,1- 8-79,1,2-121
24492,1-22-79,"1, 2","2-15, Rules 7, 7A"
24493,1-22-79,1,2-303
24502,2- 5-79,1,17-15—17-20
24512,2- 5-79,1,22-35.1
,,2,22-14
,,3,22-35(a)
,,4,22-51(b)
,,5,"22-54(a), 22-55(a)"
24551,3-12-79,"1, 2","32-151, 32-152"
24558,3-12-79,1,22-15.1
24575,4- 2-79,1,2-297.1
24579,4- 2-79,1,2-239
24585,5- 7-79,1,26-25
,,2,26-10
24595,4-23-79,1,"2-15, Rule 1"
24617,5- 7-79,1,32-39
24633,5-14-79,1  Rpld,"33-17, 33-18, 33-20, 33-21"
,,2,"33-17, 33-18, 33-20—33-24"
24650,5-23-79,1,32-169.1
24689,6-25-79,1,"14-34—14-36, 14-40"
,,2,14-43
24741,6-25-79,1,2-41
24745,7-23-79,1,36-182(5)
,,2,36-248(a)
24746,7-23-79,,36-371—36-375
24747,7- 9-79,1  Rpld,2-318
24748,7- 9-79,1,2-297.1
24749,7-23-79,"1, 2",34-130
24770,7-23-79,1  Rpld,2-59
,,2,"2-103—2-105, 2-107"
,,3,2-103.1
24771,7-23-79,1,"32-84, 32-86, 32-88, 32-89"
24772,7-23-79,"1, 2",32-64(b)—(g)
,,3,32-68(a)
24779,7-23-79,1,"2-172, 2-173"
24785,8-27-79,1  Rpld,"31-33(c)(4), 31-8, 31-36(b)"
,,2,"31-2, 31-4, 31-6(a)—(c), 31-10(b), 31-24, 31-36, 31-38, 31-52, 31-68(a), 31-124"
24788,8-13-79,1,2-124
24801,9- 4-79,1  Rpld,28-14—28-22
,,Added,28-14—28-29
24837,9-17-79,1,"19-44—19-51, 19-71—19-82"
,,2  Rpld,"19-18, 19-44—19-152"
,,3  Rpld,29-23(b)
,,4,"29-61, 29-62, 29-71, 29-78, 29-86"
24838,10- 1-79,,22-15.1
24842,9-10-79,1  Rpld,"32-36, 32-37"
24844,10- 1-79,1,32-104
24870,10-18-79,1,"32-16, 32-104, 32-122(2)"
24879,10-22-79,1,"20-76, 20-85"
24937,12- 3-79,1,"21-8, 21-9"
24943,12-27-77,1,"36-138, 36-140"
24951,1- 7-80,1,"20-65—20-73, 20-77—20-84, 20-88, 20-89, 20-93—20-98, 20-101—20-108"
24967,1-28-80,,36-373(a)
24975,1-28-80,1,21-44
24991,2-11-80,1,20-32
25039,3-24-80,1—5,17-31—17-35
25062,4-28-80,1  Rpld,32-151—32-156
,,2,32-151—155
25070,4-28-80,1,29-96—29-100
25072,5- 5-80,1,20-54(b)—(f)
25074,5- 5-80,,"Adopting Ordinance, p. ix(note)"
25075,4-28-80,1,"19-44, 19-45"
,,2,19-77
25124,6- 9-80,,20-32
25129,5-27-80,1,4-9
25154,6-23-80,1,15-47—15-49
,,2,"26-29, 26-31"
25172,6-23-80,1,14-34—14-37
25187,6-23-80,1,20-97
25188,7-14-80,1,19-20(f)
,,2,32-19(b)
,,3,32-20
,,4,"32-68(a), (d)"
,,5,32-106(b)
,,6,32-107
,,7,32-222(a)
,,8,32-244(b)
25206,7-28-80,,36-487—36-490
25226,7-14-80,1,30-14
25234,8-11-80,1,"32-17—32-19, 32-22, 32-23, 32-24(a), (d), 32-39, 32-43(a), (b), 32-45, 32-46"
25248,7-28-80,,"28-17, 28-18, 28-23"
25266,8-11-80,"1, 2  Rpld",14-34—14-42
,,4,14-34—14-40
25268,8-25-80,1,"32-86, 32-88"
25292,9- 2-80,1,24-30(b)
25293,9- 2-80,1,4-21.1
25294,9- 2-80,1,24-45.1
25342,10-27-80,,"36-2, 36-61(b), 36-96.1"
25362,11-10-80,,34-130(g)
25369,11-10-80,1,"20-28, 20-29, 20-32—20-34"
,,2  Rpld,20-30
25401,12- 8-80,1,2-37(d)
25419,1- 5-81,,15-28
25452,1- 5-81,1,"35-46(a), 35-51"
25456,1-26-81,1,"20-28, 20-32(b)"
25467,1-26-81,1,20-77
25484,2- 9-81,1,"26-43, 26-59(c), 26-60"
25487,2- 9-81,2,32-1
,,3,32-36—32-37.1
25493,3- 2-81,1,"32-17, 32-124"
25503,3- 2-81,1,32-88
25504,3- 2-81,1,2-172(b)
25524,4-13-81,1,21-23
,,2,"21-24(b), (c)"
25530,4-27-81,1  Rpld,"16-11—16-23, 16-35—16-42, 16-54—16-60, 16-72—16-79, 16-91—16-97, 16-109, 16-114, 16-126—16-135"
,,Added,"16-11, 16-12"
25532,4-27-81,,"36-381(a), 36-386"
25537,4-13-81,1,"7-5, 7-6"
,,2,"7-50, 7-66, 7-105—7-107, 7-110"
,,3  Rpld,"7-51, 7-67, 7-108, 7-111, 7-112"
25543,4-27-81,1,"32-64(g), (h)"
25573,5-26-81,1,"32-16, 32-104(a), 32-122"
25581,5-26-81,1,"14-19(a), (b)—(d), 14-23, 14-24, 14-34, 14-35, 14-37"
25590,6- 8-81,1,18-30(a)
25591,5-26-81,1,"32-43(a), (b)"
25592,5-26-81,1,21-45
25604,6-22-81,1,32-240
25605,6-22-81,1,"21-135, 21-136, 21-139(12), 21-158, 21-175, 21-176, 21-191"
,,2,"21-145, 21-146"
25613,6- 8-81,1,2-37(b)
25617,6-22-81,,32-93—32-101
25624,7-13-81,,16-184—16-193
25646,6-26-81,1,12-18
,,2,"20-74, 20-89(b)(1), (4), (e)"
25647,6-26-81,1,2-178
25648,7-13-81,1,6-42.1
,,2  Rpld.,6-42
,,3,6-43
25653,7-27-81,1,"19-74.1, 19-74.2"
25672,7-13-81,1,22-14
25689,7-27-81,1,1-17—1-20
25702,8-10-81,1,20-75
25733,9- 8-81,2,20-89(b)(3)  2-125
25737,9- 8-81,1,20-75
,,2,20-89(b)(3)
25746,9-28-81,,"36-362—36-370, 36-520(a)"
25747,9-28-81,,"31-28(c)(1), 31-29(i)"
25751,9-14-81,1,"2-64(b)(6), 2-66, 2-67, 2-110"
25841,11-23-81,1,20-32(b)
25844,12- 7-81,1,32-140
25868,12-28-81,1,"34-58, 34-61, 34-73—34-75, 34-80"
,,2  Rpld.,34-112
,,3,34-130(h)
,,4,"19-150, 20-32(b)"
25876,1- 4-82,,"32-84, 32-86, 32-88, 32-90"
25890,1-25-82,"1, 2","19-81, 19-81.1"
25902,1-25-82,1  Rpld.,34-78
25932,3-22-82,1,36-2
,,2,36-126
,,3,"36-69(2), 36-167, 36-169, 36-189, 36-191, 36-211, 36-213, 36-229, 36-233, 36-235,  36-255, 36-257, 36-276, 36-278, 36-298"
25948,4- 5-82,,"11-7, 11-8(b), (c), 11-12"
25961,4- 5-82,1,22-61.1
25962,4- 5-82,1,22-14
25963,4-12-82,,2-324—2-328
25964,4- 5-82,1,"20-89(a), (b), (d)"
25981,4-12-82,1,22-58
25995,5- 3-82,1,13-1
26007,5-24-82,1  Rpld,31-10
,,2,"31-33(b), 31-39(b), 31-53, 31-68(a), 31-105, 31-108"
,,3,"31-54, 31-68(h)"
26008,5-24-82,1,36-2
,,Rpld,"36-301(c), 36-503"
,,2,"36-2, 36-10(a), 36-30(c), 36-498, 36-523, 36-539(c), 36-541"
,,3,"36-62.1, 36-291.1"
26038,6-14-82,1,"32-16, 32-104(a)  32-122"
26048,5-24-82,1  Rpld,"14-23, 14-24, 14-34, 14-35, 14-37"
,,2,"14-19, 14-36"
,,3,"14-4—14-7, 14-35.1, 14-41—14-45"
26081,6-14-82,,10-3—10-5
26082,6-14-82,1,21-43.1
26101,7-12-82,1,2-266
,,2,2-269
26114,6-28-82,1,32-5
26115,6-28-82,1,19-20(f)
,,2,32-19(b)
,,3,32-20
,,4,32-106(b)
,,5,32-107
,,6,32-222(a)
,,7,32-224(b)
,,8,32-6
26117,6-28-82,1,2-175
,,2,2-177
26144,7-26-82,,30-14
26145,7-12-82,1,2-103
,,2,2-114
26147,7-26-82,1  Rpld,2-167
,,Amd,2-168
26148,7-26-82,,"16-151, 16-176(b), 16-178(a)"
26153,7-26-82,1,30-65
26155,7-26-82,1,34-14
26163,7-26-82,1,24-97
26189,9- 7-82,,24-102
26197,8-23-82,1,2-188
26214,9-27-82,,36-97(7)
26216,9-27-82,,31-8
26224,9-27-82,1  Rnbd,20-28(b) as (c)
,,Added,20-28(b)
26239,10- 4-82,1,"7-13, 7-50, 7-71(a)"
,,2  Rpld,7-110
26241,10- 4-82,1,"2-171, 2-180"
26248,10-11-82,1,"22-14, 22-35.1"
26266,10-25-82,1,14-23
26269,11- 1-82,,17-17
26286,11-22-82,1,6-26
