0,1,2,3
Virginia  Constitution  Year,Article,Section,Section  this Code
1902,Clause B,127,"Charter,"
,,,"Ch. 11, § 7"
1971,Art. VII,10(a)(1),"Charter,"
,,,"Ch. 11, § 2"
,,"10(a)(1), (2),","Charter,"
,,"(3), (4)","Ch. 11, § 6"
,,"10(a)(1), (2),","Charter,"
,,"(3), (4)","Ch. 11, § 7"
,Art. X,6,21-11
,Art. X,6(a)(6),21-11.1—21-11.4
,,,21-12
